id,question,subject,difficulty,marks,year,units

1,"Explain Digital signal with diagram.",DLDM,Easy,06,Second,Unit 1
2,"Explain Basic and Universal gates with the help of truth table and symbols.",DLDM,Easy,06,Second,Unit 1
3,"Explain Exclusive -OR and Exclusive- NOR gate",DLDM,Hard,06,Second,Unit 1
4,"What is Number System and explain their types.",DLDM,Easy,06,Second,Unit 1
5,"Explain Binary-to-Decimal and Decimal-to-Binary Conversion",DLDM,Medium,06,Second,Unit 1
6,"Explain 1's complement and o's complement along with example.",DLDM,Medium,06,Second,Unit 1
7,"Explain Binary Arithmetic with their operation.",DLDM,Easy,06,Second,Unit 1
8,"Explain Octal-to-Decimal, Decimal-to-Octal, Octal to Binary and Binary to Octal." ,DLDM,Hard,06,Second,Unit 1
9,"What is code and explain their types?",DLDM,Medium,06,Second,Unit 1
10,"Explain the Error Detecting and error-correcting. Code ",DLDM,Hard,06,Second,Unit 1
11,"What is Hamming code and explain it with an example",DLDM,Easy,06,Second,Unit 1

12,"Write a short note on combinational circuit.",DLDM,Medium,06,Second,Unit 2
13,"Explain KARNAUGH-MAP representation of logic function ",DLDM,Medium,06,Second,Unit 2
14,"Explain don't care condition",DLDM,Easy,06,Second,Unit 2
15,"Explain Half-Adder and full-adder",DLDM,Easy,06,Second,Unit 2
16,"Explain Half-Subtractor and Full-Subtractor.",DLDM,Easy,06,Second,Unit 2
17,"Explain BCD to 7-segment Decoder.",DLDM,Medium,06,Second,Unit 2
18,"Write a short note on Encoder.",DLDM,Hard,06,Second,Unit 2
19,"Write a short note on Multiplexer.",DLDM,Hard,06,Second,Unit 2
20,"Explain Demultiplexer.",DLDM,Hard,06,Second,Unit 2
21,"Explain BCD-adder with diagram.",DLDM,Medium,06,Second,Unit 2 
22,"Explain BCD-subtractor with diagram.",DLDM,Medium,06,Second,Unit 2
23,"Explain Arithmetic Logic Unit (ALU)",DLDM,Medium,06,Second,Unit 2

24,"Explain sequential circuit.",DLDM,Easy,06,Second,Unit 3
25,"Explain 1-Bit memory cell",DLDM,Easy,06,Second,Unit 3
26,"Explain Clock-SR Flip Flop and also explain application of flip flop.",DLDM,Easy,06,Second,Unit 3
27,"Explain JKT-Flipflop",DLDM,Hard,06,Second,Unit 3
28,"Explain D-type Flip Flop.",DLDM,Hard,06,Second,Unit 3
29,"Explain Shift Register",DLDM,Hard,06,Second,Unit 3
30,"Explain application of shift Register. (ii) Parallel to serial",DLDM,Medium,06,Second,Unit 3
31,"Write a short note on Asynchronous Counter (Ripple)",DLDM,Medium,06,Second,Unit 3
32,"Write a short note on synchronous Counter (Ripple)",DLDM,Medium,06,Second,Unit 3

33,"Explain ideal microprocessor with diagram.",DLDM,Medium,06,Second,Unit 4
34,"Differentiate between 8-bit microprocessor and 16-bit microprocessor",DLDM,Easy,06,Second,Unit 4
35,"Explain the data bus.",DLDM,Medium,06,Second,Unit 4
36,"Explain address bus and control bus.",DLDM,Easy,06,Second,Unit 4
37,"Explain the program counter of microprocessor.",DLDM,Hard,06,Second,Unit 4
38,"Write a short note on stack pointer and flag.",DLDM,Hard,06,Second,Unit 4
39,"Explain the 8086 microprocessor architecture",DLDM,Hard,06,Second,Unit 4

40,"What is memory interface and Ilo interface? ",DLDM,Easy,06,Second,Unit 5
